incident_id,latitude,longitude,hour_of_day
730169451,38.9818,-76.9456,22
504352211,38.9823,-76.9456,22
595215085,38.984,-76.9456,22
542053156,38.9841,-76.9456,22
738976455,38.9841,-76.9456,22
644197399,38.9841,-76.9456,22
204505495,38.9841,-76.9456,22
229945634,38.9841,-76.9456,22
308946045,38.9851,-76.9456,22
308946046,38.9851,-76.9456,22
335357105,38.9851,-76.9456,22
48802919,38.9818,-76.9456,23
48802920,38.9818,-76.9456,23
48802921,38.9837,-76.9456,23
48802922,38.9841,-76.9456,23
48802923,38.9841,-76.9456,23
421656573,38.98400095,-76.9455959,7
443941039,38.9869456,-76.94559536,7
48802925,38.9869456,-76.94559536,23
804275887,38.98229087,-76.94558249,2
79147297,38.984,-76.94558,0
749769456,38.98363,-76.94558,5
378475673,38.984,-76.94558,22
48802926,38.984,-76.94558,23
384981987,38.98699,-76.94557,22
712977306,38.98505898,-76.94556396,5
120306421,38.98181202,-76.94555031,0
49849654,38.98181202,-76.94555031,0
586020988,38.98181202,-76.94555031,1
825764173,38.98181202,-76.94555031,2
758562832,38.98181202,-76.94555031,3
723913260,38.98181202,-76.94555031,4
475595173,38.98181202,-76.94555031,7
48808346,38.98181202,-76.94555031,8
48808356,38.98181202,-76.94555031,8
48808366,38.98181202,-76.94555031,8
408448062,38.98181202,-76.94555031,22
438236399,38.98181202,-76.94555031,22
48802928,38.98181202,-76.94555031,23
48802929,38.98181202,-76.94555031,23
48802930,38.98181202,-76.94555031,23
722432730,38.98183,-76.94555,0
726476507,38.98183,-76.94555,0
590473674,38.98183,-76.94555,1
710188223,38.98183,-76.94555,5
598906812,38.98183,-76.94555,9
467278347,38.98183,-76.94555,22
48802933,38.98183,-76.94555,23
727625942,38.99256,-76.94554,0
729644160,38.99256,-76.94554,0
730316095,38.99256,-76.94554,0
614657029,38.98502,-76.94554,9
530167826,38.98502,-76.94554,22
48802934,38.99256,-76.94554,23
752030024,38.9818,-76.9455,0
757767187,38.9818,-76.9455,0
211527937,38.9837,-76.9455,0
212850916,38.9837,-76.9455,0
593314429,38.9818,-76.9455,1
701215347,38.9818,-76.9455,2
710013760,38.9818,-76.9455,2
768867010,38.9818,-76.9455,3
771689445,38.9837,-76.9455,3
252282937,38.9903,-76.9455,3
725747074,38.9818,-76.9455,4
777370992,38.9818,-76.9455,4
735166524,38.9818,-76.9455,4
710188224,38.9818,-76.9455,5
710696991,38.9818,-76.9455,5
710552117,38.9818,-76.9455,5
788485620,38.9818,-76.9455,7
821568692,38.9928,-76.9455,7
48808367,38.9818,-76.9455,8
48808372,38.9818,-76.9455,8
48808375,38.9818,-76.9455,8
149941046,38.9818,-76.9455,9
157664765,38.9818,-76.9455,9
788485638,38.9818,-76.9455,22
797087517,38.9818,-76.9455,22
790259372,38.9818,-76.9455,22
784590199,38.9818,-76.9455,22
795605264,38.9837,-76.9455,22
802596647,38.9837,-76.9455,22
