latitude,longitude,hour_of_day
38.98158,-76.9404948,17
38.98158,-76.9404948,17
38.98158,-76.9404948,19
38.98158,-76.9404948,20
38.98158018,-76.94052552,12
38.98158018,-76.94052552,20
38.98158109,-76.94141923,11
38.98158109,-76.94141923,14
38.98158109,-76.94141923,15
38.98158109,-76.94141923,15
38.98158109,-76.94141923,16
38.98158109,-76.94141923,19
38.98158109,-76.94141923,20
38.9816,-76.9446,9
38.9816,-76.9446,14
38.9816,-76.9446,14
38.9816,-76.9446,16
38.9816,-76.9446,16
38.9816,-76.9446,16
38.9816,-76.9446,16
38.9816,-76.9446,17
38.9816,-76.9446,17
38.9816,-76.9446,17
38.9816,-76.9446,17
38.9816,-76.9446,18
38.9816,-76.9446,19
38.9816,-76.9446,20
38.9816,-76.9414,9
38.9816,-76.9414,11
38.9816,-76.9414,11
38.9816,-76.9414,12
38.9816,-76.9414,14
38.9816,-76.9414,14
38.9816,-76.9414,17
38.9816,-76.9414,18
38.9816,-76.9414,19
38.9816,-76.9414,20
38.9816,-76.9405,9
38.9816,-76.9405,10
38.9816,-76.9405,12
38.9816,-76.9405,13
38.9816,-76.9405,16
38.9816,-76.9405,18
38.9816,-76.9299,17
38.9816088,-76.9389393,15
38.98162,-76.94051,9
38.98168143,-76.93798504,15
38.9817,-76.9462,13
38.9817,-76.9462,13
38.9817,-76.9462,13
38.9817,-76.9462,17
38.9817,-76.9462,18
38.9817,-76.9462,18
38.9817,-76.9462,18
38.9817,-76.9462,18
38.9817,-76.9462,19
38.9817,-76.9462,19
38.9817,-76.9462,19
38.9817,-76.9462,20
38.9817,-76.9462,20
38.9817,-76.9462,20
38.9817,-76.9462,20
38.9817,-76.9404,10
38.9817,-76.9404,14
38.9817,-76.9404,14
38.9817,-76.9392,14
38.9817,-76.9391,10
38.9817,-76.9387,13
38.9817,-76.9386,12
38.9817,-76.938,9
38.9817,-76.9346,19
38.98176526,-76.93897733,20
38.981789,-76.9389477,19
38.9818,-76.9456,11
38.9818,-76.9456,12
38.9818,-76.9456,12
38.9818,-76.9456,14
38.9818,-76.9456,14
38.9818,-76.9456,15
38.9818,-76.9456,15
38.9818,-76.9456,15
38.9818,-76.9456,16
38.9818,-76.9456,16
38.9818,-76.9456,17
38.9818,-76.9456,18
38.9818,-76.9456,18
38.9818,-76.9456,18
38.9818,-76.9456,18
38.9818,-76.9456,18
38.9818,-76.9456,20
38.9818,-76.9456,20
38.9818,-76.9456,20
38.9818,-76.9456,20
38.9818,-76.9456,20
38.9818,-76.9455,9
38.9818,-76.9455,9
38.9818,-76.9455,11
38.9818,-76.9455,11
38.9818,-76.9455,11
38.9818,-76.9455,11
38.9818,-76.9455,11
38.9818,-76.9455,12
38.9818,-76.9455,13
38.9818,-76.9455,14
38.9818,-76.9455,14
38.9818,-76.9455,14
38.9818,-76.9455,16
38.9818,-76.9455,17
38.9818,-76.9455,17
38.9818,-76.9455,17
38.9818,-76.9455,17
38.9818,-76.9455,18
38.9818,-76.9455,19
38.9818,-76.9455,19
38.9818,-76.9447,9
38.9818,-76.9447,10
38.9818,-76.9447,14
38.9818,-76.9447,16
38.9818,-76.9447,17
38.9818,-76.9447,17
38.9818,-76.9447,17
38.9818,-76.9447,18
38.9818,-76.9429,9
38.9818,-76.9429,15
38.9818,-76.9429,17
38.9818,-76.9429,17
38.9818,-76.9429,17
38.9818,-76.9429,19
38.9818,-76.9413,9
38.9818,-76.9413,11
38.9818,-76.9413,16
38.9818,-76.9413,16
38.9818,-76.9413,17
38.9818,-76.939,11
38.9818,-76.939,18
38.9818,-76.9363,9
38.9818,-76.9363,12
38.9818,-76.9363,13
38.9818,-76.9363,20
38.98181202,-76.94555031,10
38.98181202,-76.94555031,11
38.98181202,-76.94555031,12
38.98181202,-76.94555031,12
38.98181202,-76.94555031,12
38.98181202,-76.94555031,12
38.98181202,-76.94555031,14
38.98181202,-76.94555031,14
38.98181202,-76.94555031,14
38.98181202,-76.94555031,15
38.98181202,-76.94555031,15
38.98181202,-76.94555031,16
38.98181202,-76.94555031,16
38.98181202,-76.94555031,16
38.98181202,-76.94555031,16
38.98181202,-76.94555031,17
38.98181202,-76.94555031,17
38.98181202,-76.94555031,17
38.98181202,-76.94555031,17
38.98181202,-76.94555031,17
38.98181202,-76.94555031,18
38.98181202,-76.94555031,18
38.98181202,-76.94555031,18
38.98181202,-76.94555031,19
38.98181202,-76.94555031,19
38.98181202,-76.94555031,19
38.98181202,-76.94555031,19
38.98181202,-76.94555031,20
38.98181202,-76.94555031,20
38.98181202,-76.94555031,20
38.98183,-76.94555,9
38.98183,-76.94555,10
38.98183,-76.94555,11
38.98183,-76.94555,12
38.98183,-76.94555,12
38.98183,-76.94555,15
38.98183,-76.94555,15
38.98183,-76.94555,15
38.98183,-76.94555,15
38.98183,-76.94555,16
38.98183,-76.94555,16
38.98183,-76.94555,16
38.98183,-76.94555,19
38.98183,-76.94133,9
38.98183,-76.94133,9
38.98183,-76.94133,16
38.9818322,-76.9413051,9
38.9818322,-76.9413051,11
38.9818322,-76.9413051,11
38.9818322,-76.9413051,12
38.9818322,-76.9413051,12
38.9818322,-76.9413051,17
38.9818322,-76.9413051,19
38.98183509,-76.94134534,12
38.98183509,-76.94134534,18
38.98187757,-76.93696182,16
38.98189466,-76.93930784,9
38.98189466,-76.93930784,10
38.98189466,-76.93930784,11
38.98189466,-76.93930784,13
38.98189466,-76.93930784,15
38.98189466,-76.93930784,15
38.98189466,-76.93930784,16
38.98189466,-76.93930784,17
38.98189466,-76.93930784,18
38.98189466,-76.93930784,19
38.98189466,-76.93930784,19
38.98189466,-76.93930784,20
38.98189466,-76.93930784,20
38.9819,-76.9414,16
38.9819,-76.9414,18
38.9819,-76.9414,20
38.9819,-76.9393,11
38.9819,-76.9393,14
38.9819,-76.9393,18
38.9819,-76.9393,18
38.9819,-76.9393,19
38.9819,-76.9393,19
38.9819,-76.9393,20
38.9819,-76.9393,20
38.9819,-76.9373,19
38.9819,-76.9292,19
38.98191222,-76.93711543,10
38.98191763,-76.92919417,14
38.98191763,-76.92919417,16
38.98191763,-76.92919417,19
38.98193623,-76.94198293,9
38.98193623,-76.94198293,16
38.98195827,-76.93110521,14
38.98197396,-76.9314261,20
38.982,-76.9435,11
38.982,-76.9435,12
38.982,-76.9435,15
38.982,-76.9435,17
38.982,-76.9435,18
38.982,-76.9435,20
38.982,-76.9407,10
38.982,-76.9407,13
38.982,-76.9407,19
38.982,-76.9407,20
38.982,-76.9393,9
38.982,-76.9393,14
38.982,-76.9393,17
38.982,-76.9393,20
38.98202061,-76.93138003,20
38.9820288,-76.9407424,12
38.9820288,-76.9407424,17
38.9820288,-76.9407424,19
38.9820288,-76.9407424,19
38.98203889,-76.94073362,19
38.98205,-76.94071,9
38.98205,-76.94071,18
38.98205446,-76.9361054,15
38.98205446,-76.9361054,19
38.98206,-76.94289,14
38.98206,-76.94289,16
38.98206,-76.94289,18
38.98206,-76.94289,20
38.98206,-76.93894,9
38.98206,-76.93894,9
